,Answers,Questions
0,,Hi there!
1,,Hi
2,,dog
3,it’s dog,
4,,Hi there!
5,,HI
6,,dog
7,Hi dog,
8,,Hi there!
9,,hi
10,,Hi there!
11,,apple
12,,Hi there!
13,,Hi
14,,Hi there!
15,,apple
16,,Hi there!
17,,apple
18,,Hi there!
19,,apple
20,,Hi there!
21,Hi,
22,,apple
23,,Hi there!
24,,apple
25,,Hi there!
26,,i ilove apple
27,,Hi there!
28,,i love apple
29,,Hi there!
30,,i love apple
31,,apple
32,,Hi there!
33,,i love apple
34,,Hi there!
35,,I love apple
36,,Hi there!
37,,hi
38,,Hi there!
39,,dog
40,,Hi there!
41,,Hi
42,,Hi there!
43,,hi
44,,Hi there!
45,,hi
46,,Hi there!
47,,hi
48,,Hi there!
49,,hi
50,,Hi there!
51,,hi
52,,dog
53,,Hi there!
54,,hi
55,,dog
56,,Hi there!
57,,hi
58,,Hi there!
59,,hi
60,,Hi there!
61,,hi
62,,Hi there!
63,,hi
64,,Hi there!
65,,hi
66,,Hi there!
67,,hi
68,,Hi there!
69,,hello
70,,Hi there!
71,,hi
72,,Hi there!
73,,hi
74,,Hi there!
75,,Hi
